# ========
# captured on: Mon Jul 15 17:50:59 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match lines --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 142, 143, 144, 145, 146, 147, 148, 149 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 4K of event 'cycles'
# Event count (approx.): 3610547367
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................
#
     0.12%    bench  bench                    [.] GrPathRendererChain::getPathRenderer(SkPath const&, SkStrokeRec const&, GrDrawTarget const*, GrPathRendererChain::DrawType, GrPathRendererChain::StencilSupport*)                                                                                    
     0.12%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_pushbuf_marker_emit                                                                                                                                                                                                                          
     0.12%    bench  bench                    [.] SkStrokeRec::getStyle() const                                                                                                                                                                                                                        
     0.12%    bench  bench                    [.] SkRefCnt::internal_dispose() const                                                                                                                                                                                                                   
     0.12%    bench  libgallium.so            [.] cso_construct_key                                                                                                                                                                                                                                    
     0.12%    bench  bench                    [.] GrGpuGL::onGpuDraw(GrDrawTarget::DrawInfo const&)                                                                                                                                                                                                    
     0.12%    bench  bench                    [.] GrDrawTarget::DrawInfo::operator=(GrDrawTarget::DrawInfo const&)                                                                                                                                                                                     
     0.12%    bench  bench                    [.] GrGLEffect::GenAttribKey(GrDrawEffect const&)                                                                                                                                                                                                        
     0.12%    bench  bench                    [.] GrDrawTarget::AutoStateRestore::set(GrDrawTarget*, GrDrawTarget::ASRInit, SkMatrix const*)                                                                                                                                                           
     0.12%    bench  bench                    [.] GrContext::internalDrawPath(GrDrawTarget*, bool, SkPath const&, SkStrokeRec const&)                                                                                                                                                                  
     0.12%    bench  bench                    [.] SkRect::setBoundsCheck(SkPoint const*, int)                                                                                                                                                                                                          
     0.12%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_pushbuf_submit                                                                                                                                                                                                                               
     0.12%    bench  bench                    [.] GrDrawTarget::drawNonIndexed(GrPrimitiveType, int, int, SkRect const*)                                                                                                                                                                               
     0.12%    bench  bench                    [.] SkPath::rewind()                                                                                                                                                                                                                                     
     0.11%    bench  libexpat.so.1.5.2        [.] 0x000000000000f4cf                                                                                                                                                                                                                                   
     0.11%    bench  libglsl.so               [.] 0x0000000000069ca6                                                                                                                                                                                                                                   
     0.10%    bench  bench                    [.] GrInOrderDrawBuffer::willReserveVertexAndIndexSpace(int, int)                                                                                                                                                                                        
     0.10%    bench  bench                    [.] GrAAHairLinePathRenderer::canDrawPath(SkPath const&, SkStrokeRec const&, GrDrawTarget const*, bool) const                                                                                                                                            
     0.10%    bench  libgallium.so            [.] cso_hash_find                                                                                                                                                                                                                                        
     0.10%    bench  libdricore.so            [.] _mesa_ActiveTextureARB                                                                                                                                                                                                                               
     0.10%    bench  libdricore.so            [.] _mesa_reference_shader_program                                                                                                                                                                                                                       
     0.10%    bench  nouveau_dri.so           [.] util_format_description                                                                                                                                                                                                                              
     0.10%    bench  libdricore.so            [.] _mesa_lock_context_textures                                                                                                                                                                                                                          
     0.10%    bench  bench                    [.] GrBufferAllocPool::createBlock(unsigned long)                                                                                                                                                                                                        
     0.10%    bench  libgallium.so            [.] cso_find_state_template                                                                                                                                                                                                                              
     0.10%    bench  bench                    [.] GrGLBufferImpl::bind(GrGpuGL*) const                                                                                                                                                                                                                 
     0.09%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_bo_ref                                                                                                                                                                                                                                       
     0.09%    bench  bench                    [.] SkMatrix::mapRect(SkRect*, SkRect const&) const                                                                                                                                                                                                      
     0.09%    bench  bench                    [.] GrGpuGL::flushAAState(GrGpu::DrawType)                                                                                                                                                                                                               
     0.09%    bench  bench                    [.] _ZN9GrContext15getPathRendererERK6SkPathRK11SkStrokeRecPK12GrDrawTargetbN19GrPathRendererChain8DrawTypeEPNS9_14StencilSupportE.constprop.91                                                                                                          
     0.09%    bench  bench                    [.] SkCubicEdge::updateCubic()                                                                                                                                                                                                                           
     0.09%    bench  bench                    [.] SkPath::SkPath()                                                                                                                                                                                                                                     
     0.09%    bench  libglapi.so.0.0.0        [.] 0x0000000000010d5a                                                                                                                                                                                                                                   
     0.08%    bench  bench                    [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessThan>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessThan)                                                                                                                            
     0.08%    bench  bench                    [.] SkRTree::distributeChildren(SkRTree::Branch*)                                                                                                                                                                                                        
     0.07%    bench  bench                    [.] GrGLProgram::setMatrixAndRenderTargetHeight(GrDrawState const&)                                                                                                                                                                                      
     0.07%    bench  bench                    [.] GrContext::drawPath(GrPaint const&, SkPath const&, SkStrokeRec const&)                                                                                                                                                                               
     0.07%    bench  libm-2.15.so             [.] 0x000000000002e846                                                                                                                                                                                                                                   
     0.07%    bench  bench                    [.] GrGLRenderTarget::getResolveType() const                                                                                                                                                                                                             
     0.07%    bench  bench                    [.] SkPathRef::~SkPathRef()                                                                                                                                                                                                                              
     0.07%    bench  nouveau_dri.so           [.] nv50_m2mf_transfer_rect                                                                                                                                                                                                                              
     0.07%    bench  bench                    [.] GrDrawTarget::setClip(GrClipData const*)                                                                                                                                                                                                             
     0.07%    bench  bench                    [.] GrDrawTarget::setIndexSourceToBuffer(GrIndexBuffer const*)                                                                                                                                                                                           
     0.07%    bench  nouveau_dri.so           [.] nv50_screen_make_buffers_resident                                                                                                                                                                                                                    
     0.07%    bench  bench                    [.] GrDrawTarget::AutoStateRestore::setIdentity(GrDrawTarget*, GrDrawTarget::ASRInit)                                                                                                                                                                    
     0.07%    bench  libdricore.so            [.] _mesa_VertexAttribPointerARB                                                                                                                                                                                                                         
     0.07%    bench  bench                    [.] GrDrawState::willEffectReadDstColor() const                                                                                                                                                                                                          
     0.07%    bench  bench                    [.] GrClipData::getConservativeBounds(GrSurface const*, SkIRect*, bool*) const                                                                                                                                                                           
     0.07%    bench  bench                    [.] GrGLProgram::setCoverage(GrDrawState const&, unsigned int, GrGLProgram::SharedGLState*)                                                                                                                                                              
     0.07%    bench  libdricore.so            [.] _mesa_uniform_matrix                                                                                                                                                                                                                                 
     0.07%    bench  bench                    [.] GrDrawTarget::releasePreviousVertexSource()                                                                                                                                                                                                          
     0.07%    bench  bench                    [.] SkAlphaRuns::reset(int)                                                                                                                                                                                                                              
     0.07%    bench  nouveau_dri.so           [.] nv50_constbufs_validate                                                                                                                                                                                                                              
     0.07%    bench  bench                    [.] SkChunkAlloc::alloc(unsigned long, SkChunkAlloc::AllocFailType)                                                                                                                                                                                      
     0.07%    bench  bench                    [.] GrGLEffect::GenTextureKey(GrDrawEffect const&, GrGLCaps const&)                                                                                                                                                                                      
     0.07%    bench  libdricore.so            [.] vbo_exec_invalidate_state                                                                                                                                                                                                                            
     0.07%    bench  libdricore.so            [.] _mesa_load_state_parameters                                                                                                                                                                                                                          
     0.07%    bench  bench                    [.] _ZN12_GLOBAL__N_18add_lineEPK7SkPointiPK8SkMatrixPPNS_6VertexE.isra.3                                                                                                                                                                                
     0.07%    bench  libdrm.so.2.4.0          [.] drmIoctl                                                                                                                                                                                                                                             
     0.07%    bench  bench                    [.] GrSWMaskHelper::DrawPathMaskToTexture(GrContext*, SkPath const&, SkStrokeRec const&, SkIRect const&, bool, SkMatrix*)                                                                                                                                
     0.07%    bench  libgallium.so            [.] st_flush_bitmap_cache                                                                                                                                                                                                                                
     0.07%    bench  bench                    [.] GrVertexBufferAllocPool::makeSpace(unsigned long, int, GrVertexBuffer const**, int*)                                                                                                                                                                 
     0.07%    bench  libgallium.so            [.] st_pipe_vertex_format                                                                                                                                                                                                                                
     0.07%    bench  bench                    [.] _ZN7GrGpuGL13uploadTexDataERKN11GrGLTexture4DescEbiiii13GrPixelConfigPKvm.constprop.101                                                                                                                                                              
     0.07%    bench  bench                    [.] GrInOrderDrawBuffer::needsNewClip() const                                                                                                                                                                                                            
     0.07%    bench  bench                    [.] SkStrokeRec::SkStrokeRec(SkPaint const&)                                                                                                                                                                                                             
     0.07%    bench  bench                    [.] SkMatrix::Identity_pts(SkMatrix const&, SkPoint*, SkPoint const*, int)                                                                                                                                                                               
     0.07%    bench  bench                    [.] GrGLUniformManager::setSkMatrix(int, SkMatrix const&) const                                                                                                                                                                                          
     0.07%    bench  bench                    [.] SkStrokeRec::applyToPath(SkPath*, SkPath const&) const                                                                                                                                                                                               
     0.07%    bench  bench                    [.] SkLineClipper::ClipLine(SkPoint const*, SkRect const&, SkPoint*)                                                                                                                                                                                     
     0.07%    bench  bench                    [.] SkPreMultiplyColor(unsigned int)                                                                                                                                                                                                                     
     0.07%    bench  bench                    [.] GrDrawTarget::reserveVertexAndIndexSpace(int, int, void**, void**)                                                                                                                                                                                   
     0.05%    bench  libdricore.so            [.] pthread_mutex_lock@plt                                                                                                                                                                                                                               
     0.05%    bench  libdricore.so            [.] _mesa_update_state                                                                                                                                                                                                                                   
     0.05%    bench  libX11.so.6.3.0          [.] XGetVisualInfo                                                                                                                                                                                                                                       
     0.05%    bench  bench                    [.] SkPath::reversePathTo(SkPath const&)                                                                                                                                                                                                                 
     0.05%    bench  bench                    [.] SkPath::~SkPath()                                                                                                                                                                                                                                    
     0.05%    bench  nouveau_dri.so           [.] driIndexConfigAttrib                                                                                                                                                                                                                                 
     0.05%    bench  bench                    [.] SkDraw::drawPoints(SkCanvas::PointMode, unsigned long, SkPoint const*, SkPaint const&, bool) const                                                                                                                                                   
     0.05%    bench  bench                    [.] SkPath::close()                                                                                                                                                                                                                                      
     0.05%    bench  bench                    [.] SkScan::AntiFillPath(SkPath const&, SkRegion const&, SkBlitter*, bool)                                                                                                                                                                               
     0.05%    bench  bench                    [.] sk_fill_path(SkPath const&, SkIRect const*, SkBlitter*, int, int, int, SkRegion const&)                                                                                                                                                              
     0.05%    bench  bench                    [.] SkPath::isRectContour(bool, int*, SkPoint const**, bool*, SkPath::Direction*) const                                                                                                                                                                  
     0.05%    bench  bench                    [.] SkPath::swap(SkPath&)                                                                                                                                                                                                                                
     0.05%    bench  bench                    [.] GrPathRenderer::GetPathDevBounds(SkPath const&, int, int, SkMatrix const&, SkRect*)                                                                                                                                                                  
     0.05%    bench  libdricore.so            [.] _mesa_update_tnl_spaces                                                                                                                                                                                                                              
     0.05%    bench  bench                    [.] GrResource::getContext()                                                                                                                                                                                                                             
     0.05%    bench  bench                    [.] void SkTIntroSort<SkEdge*, SkTPointerCompareLT<SkEdge> >(int, SkEdge**, SkEdge**, SkTPointerCompareLT<SkEdge>)                                                                                                                                       
     0.05%    bench  bench                    [.] SkPath::incReserve(unsigned int)                                                                                                                                                                                                                     
     0.05%    bench  bench                    [.] SkBitmap::HeapAllocator::allocPixelRef(SkBitmap*, SkColorTable*)                                                                                                                                                                                     
     0.05%    bench  bench                    [.] SkPoint::setLength(float)                                                                                                                                                                                                                            
     0.05%    bench  bench                    [.] SkPath::isOval(SkRect*) const                                                                                                                                                                                                                        
     0.05%    bench  libdricore.so            [.] hash_table_string_hash                                                                                                                                                                                                                               
     0.05%    bench  bench                    [.] SkPath::Iter::Iter(SkPath const&, bool)                                                                                                                                                                                                              
     0.05%    bench  bench                    [.] SkXfermode::AsNewEffectOrCoeff(SkXfermode*, GrContext*, GrEffectRef**, SkXfermode::Coeff*, SkXfermode::Coeff*, GrTexture*)                                                                                                                           
     0.05%    bench  bench                    [.] SkChunkAlloc::SkChunkAlloc(unsigned long)                                                                                                                                                                                                            
     0.05%    bench  bench                    [.] SkMatrix::I()                                                                                                                                                                                                                                        
     0.05%    bench  bench                    [.] SkPoint::setNormalize(float, float)                                                                                                                                                                                                                  
     0.05%    bench  bench                    [.] GrGpuGL::flushStencil(GrGpu::DrawType)                                                                                                                                                                                                               
     0.05%    bench  bench                    [.] GrGpuGL::flushBlend(bool, GrBlendCoeff, GrBlendCoeff)                                                                                                                                                                                                
     0.05%    bench  bench                    [.] GrResourceCache::makeNonExclusive(GrResourceEntry*)                                                                                                                                                                                                  
     0.05%    bench  bench                    [.] GrMalloc(unsigned long)                                                                                                                                                                                                                              
     0.05%    bench  libgallium.so            [.] cso_set_vertex_elements                                                                                                                                                                                                                              
     0.05%    bench  bench                    [.] GrGLEffectMatrix::GenKey(SkMatrix const&, GrDrawEffect const&, GrEffect::CoordsType, GrTexture const*)                                                                                                                                               
     0.05%    bench  libdricore.so            [.] _mesa_PixelStorei                                                                                                                                                                                                                                    
     0.05%    bench  nouveau_dri.so           [.] nouveau_reloc_emit@plt                                                                                                                                                                                                                               
     0.05%    bench  bench                    [.] _ZN13SkEdgeBuilder10addClipperEP13SkEdgeClipper.constprop.6                                                                                                                                                                                          
     0.05%    bench  libfontconfig.so.1.4.4   [.] 0x000000000001bc4c                                                                                                                                                                                                                                   
     0.05%    bench  nouveau_dri.so           [.] nv50_bufctx_add_resident                                                                                                                                                                                                                             
     0.05%    bench  bench                    [.] SkMatrix::mapPoints(SkPoint*, SkPoint const*, int) const                                                                                                                                                                                             
     0.05%    bench  libdricore.so            [.] _mesa_validate_DrawArrays                                                                                                                                                                                                                            
     0.05%    bench  libdricore.so            [.] _mesa_GetError                                                                                                                                                                                                                                       
     0.05%    bench  nouveau_dri.so           [.] nouveau_bo_pending@plt                                                                                                                                                                                                                               
     0.05%    bench  nouveau_dri.so           [.] nouveau_mm_allocate                                                                                                                                                                                                                                  
     0.05%    bench  bench                    [.] SkGpuDevice::prepareDraw(SkDraw const&, bool)                                                                                                                                                                                                        
     0.05%    bench  bench                    [.] GrPathUtils::scaleToleranceToSrc(float, SkMatrix const&, SkRect const&)                                                                                                                                                                              
     0.05%    bench  bench                    [.] GrRenderTarget::flagAsNeedingResolve(SkIRect const*)                                                                                                                                                                                                 
     0.05%    bench  bench                    [.] SkMatrix::Trans_pts(SkMatrix const&, SkPoint*, SkPoint const*, int)                                                                                                                                                                                  
     0.05%    bench  nouveau_dri.so           [.] u_resource_destroy_vtbl                                                                                                                                                                                                                              
     0.05%    bench  nouveau_dri.so           [.] nouveau_fence_work                                                                                                                                                                                                                                   
     0.05%    bench  bench                    [.] glGetError@plt                                                                                                                                                                                                                                       
     0.05%    bench  bench                    [.] GrBufferAllocPool::putBack(unsigned long)                                                                                                                                                                                                            
     0.05%    bench  libdricore.so            [.] hash_table_insert                                                                                                                                                                                                                                    
     0.05%    bench  bench                    [.] SkClipStack::getConservativeBounds(int, int, int, int, SkRect*, bool*) const                                                                                                                                                                         
     0.05%    bench  libdricore.so            [.] _mesa_select_tex_image                                                                                                                                                                                                                               
     0.05%    bench  bench                    [.] SkPath::computeBounds() const                                                                                                                                                                                                                        
     0.05%    bench  bench                    [.] GrPathUtils::worstCasePointCount(SkPath const&, int*, float)                                                                                                                                                                                         
     0.05%    bench  libglsl.so               [.] ir_assignment::accept(ir_hierarchical_visitor*)                                                                                                                                                                                                      
     0.05%    bench  bench                    [.] _ZN12GrDrawTarget23setupDstReadIfNecessaryEPNS_8DrawInfoE.constprop.69                                                                                                                                                                               
